usuario,categorias_padre,subcategorias
user_242_088b,"academia, deportes y bienestar, artes escénicas, evento tradicional, música","performance, hackathon, ciclismo, picó, fiesta de fin de año, feria de ciencia, champeta, teatro comunitario"
user_501_3752,"gastronomía, música","gastronomía, electrónica, rap / hip-hop, gaitas"
user_127_8fcf,"artes escénicas, comunidad, evento tradicional, academia","networking, títeres / marionetas, cineclub, fiesta de fin de año, taller / workshop, grafiti / arte urbano, carnaval barrial, evento infantil"
user_255_1d1d,"academia, artes escénicas, evento tradicional, gastronomía, música","salsa, conferencia, danza folclórica, gaitas, verbena, teatro comunitario, mercado campesino, fiesta de fin de año"
user_960_54df,"artes escénicas, música, comunidad, deportes y bienestar","natación, artes marciales, reggae, voluntariado, stand-up comedy, gaitas"
user_614_1f6b,"artes escénicas, evento tradicional, música","salsa, stand-up comedy, picó"
user_963_95b3,"academia, deportes y bienestar, artes escénicas, evento tradicional, gastronomía, música","atletismo, conferencia, novena navideña, circo, porro, food truck"
user_844_c593,"academia, música","taller / workshop, porro"
user_889_ceed,"evento tradicional, música","reggaeton, fiesta de fin de año"
user_782_2ee2,"artes escénicas, comunidad","mercado de pulgas, teatro comunitario"
user_349_b7ff,"artes escénicas, deportes y bienestar, música","porro, artes marciales, circo"
user_542_afb9,artes escénicas,"danza folclórica, galería, circo"
user_825_f71e,"artes escénicas, evento tradicional, música","fiesta de fin de año, rap / hip-hop, cumbia, exposición de arte"
user_258_6d97,artes escénicas,"exposición de arte, danza folclórica"
user_234_b3de,"deportes y bienestar, evento tradicional, academia, música","taller / workshop, rap / hip-hop, chandé, deportes, artes marciales, picó"
user_560_f5e8,"comunidad, otros, academia, música","electrónica, academia, turismo cultural, voluntariado"
user_398_6c66,"deportes y bienestar, academia, evento tradicional, música","jazz, novena navideña, charla TED-style, rap / hip-hop, carnaval barrial, networking, merecumbé, natación"
user_856_2f2c,"deportes y bienestar, evento tradicional, música","fandango, mapalé, desfile, natación, voleibol de playa, yoga / meditación"
user_751_f105,"deportes y bienestar, artes escénicas, gastronomía, comunidad, música","danza folclórica, ciclismo, mapalé, food truck, evento infantil"
user_811_1601,"evento tradicional, academia, música","música en vivo, emprendimiento, picó"
user_523_2d9a,"gastronomía, deportes y bienestar","food truck, fútbol, voleibol de playa"
user_204_09c8,"artes escénicas, comunidad, música","cineclub, merecumbé, mercado de pulgas, performance"
user_250_25a6,"artes escénicas, otros, música","música en vivo, tecnología, títeres / marionetas"
user_591_8673,"artes escénicas, otros, deportes y bienestar","tecnología, artes marciales, stand-up comedy"
user_987_6999,"academia, artes escénicas, evento tradicional, comunidad, música","hackathon, taller / workshop, fiesta de fin de año, evento familiar, teatro comunitario, electrónica, títeres / marionetas"
user_756_fe0e,"artes escénicas, evento tradicional","picó, cineclub"
user_168_e87e,"deportes y bienestar, artes escénicas, evento tradicional, gastronomía, comunidad, otros","yoga / meditación, taller de cocina, exposición de arte, minga barrial, tecnología, novena navideña"
user_276_4283,"academia, deportes y bienestar, artes escénicas, evento tradicional, comunidad, música","stand-up comedy, mercado de pulgas, networking, rap / hip-hop, fútbol, festival gastronómico, atletismo"
user_470_d6b0,"artes escénicas, gastronomía, evento tradicional","taller de cocina, performance, desfile"
user_394_df48,"evento tradicional, gastronomía, comunidad, otros, música","feria de artesanos, evento familiar, evento infantil, cata de vinos / cocteles, turismo cultural, mapalé"
user_783_e59a,"academia, deportes y bienestar, artes escénicas, comunidad, música","ciclismo, academia, mercado de pulgas, fútbol, jazz, circo, galería"
user_192_032a,"academia, artes escénicas, comunidad, otros, música","videojuegos / gaming, teatro comunitario, emprendimiento, grafiti / arte urbano, voluntariado, feria comunitaria, moda / pasarela, reggaeton"
user_288_59da,"deportes y bienestar, artes escénicas, gastronomía, otros, música","reggaeton, stand-up comedy, skateboarding, merecumbé, videojuegos / gaming, gaitas, food truck"
user_925_f070,"gastronomía, música, evento tradicional, deportes y bienestar","gastronomía, deportes, salsa, skateboarding, champeta, picó, rap / hip-hop"
user_941_fdbe,"comunidad, música","vallenato, minga barrial"
user_732_0ddd,"artes escénicas, otros, evento tradicional, música","poesía / declamación, fotografía, stand-up comedy, rock, reinado popular, verbena, desfile, títeres / marionetas"
user_247_29aa,"gastronomía, otros, evento tradicional","turismo cultural, fiesta de fin de año, cata de vinos / cocteles, picó"
user_573_e555,"deportes y bienestar, otros, academia, música","taller / workshop, tecnología, reggae, crossfit"
user_180_0888,"academia, evento tradicional","festival gastronómico, hackathon"
user_896_6e8f,"artes escénicas, evento tradicional, música","cineclub, danza folclórica, picó, rock"
user_395_510b,"academia, deportes y bienestar, artes escénicas, evento tradicional, comunidad, música","voleibol de playa, feria comunitaria, hackathon, música en vivo, minga barrial, títeres / marionetas, fiesta de fin de año, mercado de pulgas"
user_832_ccda,"artes escénicas, gastronomía, evento tradicional, música","festival de mariscos, porro, poesía / declamación, desfile, cineclub, rap / hip-hop"
user_701_6b84,"otros, evento tradicional","festival gastronómico, turismo cultural"
user_200_21a7,"artes escénicas, comunidad, evento tradicional, deportes y bienestar","feria de artesanos, mercado de pulgas, danza folclórica, fiesta de fin de año, desfile, voleibol de playa"
user_345_6cea,"comunidad, academia, música","voluntariado, mapalé, charla TED-style, fandango, cumbia"
user_189_9b02,"academia, artes escénicas, evento tradicional, gastronomía, música","taller de cocina, emprendimiento, cumbia, fiesta de fin de año, feria de ciencia, circo"
user_482_1524,"gastronomía, comunidad, otros, música","moda / pasarela, gastronomía, jazz, religioso / espiritual, mercado de pulgas"
user_672_927e,"artes escénicas, evento tradicional, música","merecumbé, electrónica, feria de artesanos, rock, danza folclórica, festival gastronómico"
user_380_4e40,"evento tradicional, música","fiesta de fin de año, chandé, desfile"
user_780_69c6,"artes escénicas, deportes y bienestar, otros, música","exposición de arte, champeta, natación, religioso / espiritual, skateboarding, fútbol"
user_603_5522,"evento tradicional, música","rap / hip-hop, festival gastronómico"
user_298_ddaf,"gastronomía, deportes y bienestar","festival de mariscos, natación"
user_304_b256,"música, evento tradicional, deportes y bienestar","skateboarding, rap / hip-hop, feria de artesanos"
user_938_4c62,"artes escénicas, comunidad, otros, deportes y bienestar","turismo cultural, evento infantil, artes marciales, circo"
user_921_9340,"academia, deportes y bienestar, artes escénicas, comunidad, música","mapalé, artes marciales, mercado de pulgas, teatro comunitario, academia"
user_510_fb49,"artes escénicas, comunidad, otros, academia","evento familiar, performance, religioso / espiritual, hackathon"
user_826_5af1,"academia, deportes y bienestar, artes escénicas, evento tradicional, comunidad, música","porro, evento infantil, poesía / declamación, fiesta de fin de año, jazz, natación, taller / workshop"
user_360_7d6d,"deportes y bienestar, artes escénicas, evento tradicional, otros, música","atletismo, rock, picó, mapalé, videojuegos / gaming, artes marciales, títeres / marionetas, jazz"
user_804_2940,"artes escénicas, evento tradicional, academia, música","merecumbé, academia, danza folclórica, desfile, taller / workshop"
user_743_2217,"otros, academia, música","reggaeton, academia, fotografía"
user_221_375d,"artes escénicas, música, deportes y bienestar","performance, crossfit, fandango"
user_457_b21b,"artes escénicas, evento tradicional, música","salsa, cineclub, picó"
user_121_ef85,"música, evento tradicional, deportes y bienestar","ciclismo, natación, desfile, jazz"
user_718_7c83,"artes escénicas, evento tradicional, gastronomía, comunidad, música","desfile, feria de artesanos, festival de mariscos, merecumbé, teatro comunitario, food truck, evento infantil, cineclub"
user_267_2ce4,"deportes y bienestar, otros, evento tradicional, música","rock, carnaval barrial, música en vivo, reggae, fandango, tecnología, yoga / meditación, videojuegos / gaming"
user_595_64f0,"academia, comunidad, evento tradicional, deportes y bienestar","feria comunitaria, feria de artesanos, charla TED-style, minga barrial, atletismo, hackathon, yoga / meditación, academia"
user_458_56cc,"comunidad, deportes y bienestar","yoga / meditación, minga barrial"
